"Entity","Business Entities","Products","Data Flow","Scan Findings","Data Element","Sensitivity","Language","File Path","Field Name","Location","Source URL","Database Name","Database Instance Name","Table and Column Name","Operation Type","Operation","API Endpoint","API Field Names","Confidence"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","PaymentCard","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.1.content","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","PaymentCard","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.0.content","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","PhysicalAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.1.content","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","PhysicalAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.0.content","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_recipients.0.recipient_name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_subject","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_date","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_recipients.0.recipient_email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_recipients.1.recipient_email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_sender","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_recipients.1.recipient_name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_recipients.0.recipient_name","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_recipients.0.recipient_email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_recipients.1.recipient_email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_sender","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","Name","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_recipients.0.recipient_name","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","Name","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_sender","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.msg","Name","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_recipients.1.recipient_name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","DateOfBirth","","","","","","","denisolt-test-bucket","","a/c/.dob","","","","dob","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","EmailAddress","","REST API","","","","","denisolt-test-bucket","","a/c/.email","","","","email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","EmailAddress","","REST API","","","","","denisolt-test-bucket","","a/c/.email","","","","email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","Family","","REST API","","","","","denisolt-test-bucket","","a/c/.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","HealthData","High","REST API","","","","","denisolt-test-bucket","","a/c/.attributes","","","","attributes","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","Height","High","REST API","","","","","denisolt-test-bucket","","a/c/.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","Name","","REST API","","","","","denisolt-test-bucket","","a/c/.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","Name","","REST API","","","","","denisolt-test-bucket","","a/c/.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","Name","","REST API","","","","","denisolt-test-bucket","","a/c/.email","","","","email","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","PaymentCard","","REST API","","","","","denisolt-test-bucket","","a/c/.credit_card_number","","","","credit_card_number","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","PaymentCard","","REST API","","","","","denisolt-test-bucket","","a/c/.credit_card_number","","","","credit_card_number","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/c/","Weight","","REST API","","","","","denisolt-test-bucket","","a/c/.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-3-json/","EmailAddress","","","","","","","denisolt-test-bucket","","dataset-3-json/.email","","","","email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-3-json/","EmailAddress","","REST API","","","","","denisolt-test-bucket","","dataset-3-json/.email","","","","email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-3-json/","Location","","REST API","","","","","denisolt-test-bucket","","dataset-3-json/.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-3-json/","Name","Medium","REST API","","","","","denisolt-test-bucket","","dataset-3-json/.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-3-json/","Name","","REST API","","","","","denisolt-test-bucket","","dataset-3-json/.email","","","","email","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-3-json/","PhysicalHealth","","REST API","","","","","denisolt-test-bucket","","dataset-3-json/.Heart Rate","","","","Heart Rate","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-1-json/","EmailAddress","","","","","","","denisolt-test-bucket","","dataset-1-json/.email","","","","email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-1-json/","EmailAddress","","REST API","","","","","denisolt-test-bucket","","dataset-1-json/.email","","","","email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-1-json/","Name","","REST API","","","","","denisolt-test-bucket","","dataset-1-json/.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-1-json/","Name","","REST API","","","","","denisolt-test-bucket","","dataset-1-json/.email","","","","email","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-1-json/","PhysicalAddress","","REST API","","","","","denisolt-test-bucket","","dataset-1-json/.name","","","","name","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/dataset-4-json/","EmailAddress","","","","","","","denisolt-test-bucket","","dataset-4-json/.email","","","","email","Likely"
